unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1587081600,2020-04-17 00:00:00,EOS/USD,2.661,2.677,2.584,2.615,877007.48,333995.8
1586995200,2020-04-16 00:00:00,EOS/USD,2.401,2.725,2.333,2.661,2295437.7,888470.4
1586908800,2020-04-15 00:00:00,EOS/USD,2.469,2.502,2.391,2.401,769445.12,314621.4
1586822400,2020-04-14 00:00:00,EOS/USD,2.448,2.507,2.42,2.469,686655.62,278245.5
1586736000,2020-04-13 00:00:00,EOS/USD,2.497,2.497,2.333,2.448,1384528.43,573953.7
1586649600,2020-04-12 00:00:00,EOS/USD,2.514,2.598,2.461,2.497,807325.82,317358.2
1586563200,2020-04-11 00:00:00,EOS/USD,2.499,2.559,2.425,2.514,1176888.06,470313.7
1586476800,2020-04-10 00:00:00,EOS/USD,2.726,2.75,2.415,2.499,2233699.26,881762.4
1586390400,2020-04-09 00:00:00,EOS/USD,2.75,2.763,2.685,2.726,931835.78,341890.9
1586304000,2020-04-08 00:00:00,EOS/USD,2.636,2.798,2.587,2.75,1979284.65,727798.5
1586217600,2020-04-07 00:00:00,EOS/USD,2.763,2.827,2.55,2.636,2250815.13,830180.7
1586131200,2020-04-06 00:00:00,EOS/USD,2.356,2.772,2.351,2.763,2378809.73,913275.6
1586044800,2020-04-05 00:00:00,EOS/USD,2.362,2.395,2.315,2.356,682350.91,290670.5
1585958400,2020-04-04 00:00:00,EOS/USD,2.335,2.408,2.289,2.362,559873.97,238503.8
1585872000,2020-04-03 00:00:00,EOS/USD,2.294,2.385,2.274,2.335,586865.05,252121.7
1585785600,2020-04-02 00:00:00,EOS/USD,2.26,2.5,2.253,2.294,1031991.82,442465.2
1585699200,2020-04-01 00:00:00,EOS/USD,2.22,2.271,2.137,2.26,521798.73,237309.2
1585612800,2020-03-31 00:00:00,EOS/USD,2.232,2.255,2.191,2.22,338409.54,152262.6
1585526400,2020-03-30 00:00:00,EOS/USD,2.114,2.285,2.108,2.232,478909.11,215422.4
1585440000,2020-03-29 00:00:00,EOS/USD,2.205,2.213,2.098,2.114,956325.29,439172.4
1585353600,2020-03-28 00:00:00,EOS/USD,2.192,2.246,2.094,2.205,1617947.53,747067.8
1585267200,2020-03-27 00:00:00,EOS/USD,2.335,2.378,2.14,2.192,966271.8,422252.6
1585180800,2020-03-26 00:00:00,EOS/USD,2.298,2.347,2.267,2.335,376633.34,163478.2
1585094400,2020-03-25 00:00:00,EOS/USD,2.351,2.377,2.237,2.298,689595.72,298966.6
1585008000,2020-03-24 00:00:00,EOS/USD,2.296,2.386,2.281,2.351,714159.24,306341.0
1584921600,2020-03-23 00:00:00,EOS/USD,2.136,2.35,2.062,2.296,1169368.93,524070.2
1584835200,2020-03-22 00:00:00,EOS/USD,2.277,2.394,2.115,2.136,1429385.2,648546.4
1584748800,2020-03-21 00:00:00,EOS/USD,2.203,2.36,2.106,2.277,1322768.1,592822.4
1584662400,2020-03-20 00:00:00,EOS/USD,2.29,2.53,1.908,2.203,2631298.28,1165460.6
1584576000,2020-03-19 00:00:00,EOS/USD,2.002,2.406,1.979,2.29,2917022.54,1318273.5
1584489600,2020-03-18 00:00:00,EOS/USD,1.977,2.01,1.876,2.002,1474793.94,755389.6
1584403200,2020-03-17 00:00:00,EOS/USD,1.9,2.041,1.869,1.977,1718153.17,869175.2
1584316800,2020-03-16 00:00:00,EOS/USD,2.039,2.041,1.704,1.9,2552212.34,1383754.1
1584230400,2020-03-15 00:00:00,EOS/USD,1.958,2.155,1.937,2.039,1578423.79,780724.6
1584144000,2020-03-14 00:00:00,EOS/USD,2.126,2.144,1.927,1.958,2264447.9,1118774.3
1584057600,2020-03-13 00:00:00,EOS/USD,1.786,2.25,1.426,2.126,8783929.79,4626719.6
1583971200,2020-03-12 00:00:00,EOS/USD,3.073,3.08,1.693,1.786,5274714.53,2274391.3
1583884800,2020-03-11 00:00:00,EOS/USD,3.069,3.114,2.847,3.073,2388799.85,798488.4
1583798400,2020-03-10 00:00:00,EOS/USD,3.06,3.153,2.997,3.069,2278692.18,741485.4
1583712000,2020-03-09 00:00:00,EOS/USD,3.045,3.167,2.843,3.06,3877152.68,1283665.0
1583625600,2020-03-08 00:00:00,EOS/USD,3.648,3.648,2.995,3.045,4300651.66,1320077.1
1583539200,2020-03-07 00:00:00,EOS/USD,3.845,3.85,3.621,3.648,1359904.65,364735.6
1583452800,2020-03-06 00:00:00,EOS/USD,3.768,3.862,3.713,3.845,1226908.65,324428.9
1583366400,2020-03-05 00:00:00,EOS/USD,3.592,3.844,3.592,3.768,2236570.1,602027.7
1583280000,2020-03-04 00:00:00,EOS/USD,3.622,3.669,3.52,3.592,1507955.41,419502.7
1583193600,2020-03-03 00:00:00,EOS/USD,3.714,3.72,3.553,3.622,1569949.98,432406.4
1583107200,2020-03-02 00:00:00,EOS/USD,3.51,3.762,3.485,3.714,1335452.5,364522.1
1583020800,2020-03-01 00:00:00,EOS/USD,3.509,3.65,3.411,3.51,1240131.03,352051.4
1582934400,2020-02-29 00:00:00,EOS/USD,3.512,3.662,3.5,3.509,1091442.26,305941.3
1582848000,2020-02-28 00:00:00,EOS/USD,3.612,3.68,3.343,3.512,1722481.84,492590.5
1582761600,2020-02-27 00:00:00,EOS/USD,3.534,3.735,3.376,3.612,3154544.12,880612.2
1582675200,2020-02-26 00:00:00,EOS/USD,4.071,4.105,3.313,3.534,6766889.33,1844616.1
