unix,date,symbol,open,high,low,close,Volume LIN,Volume USD
1585526400,2020-03-30 00:00:00,LINK/USD,2.009,2.214,2.001,2.141,7190899.45,3372332.34
1585440000,2020-03-29 00:00:00,LINK/USD,2.145,2.168,2.009,2.009,5898743.74,2847668.0
1585353600,2020-03-28 00:00:00,LINK/USD,2.145,2.161,2.025,2.145,9716950.3,4635547.99
1585267200,2020-03-27 00:00:00,LINK/USD,2.326,2.377,2.1,2.145,11147557.66,4899073.4
1585180800,2020-03-26 00:00:00,LINK/USD,2.264,2.326,2.21,2.326,7164866.15,3168685.49
1585094400,2020-03-25 00:00:00,LINK/USD,2.318,2.352,2.178,2.264,8712544.0,3847627.17
1585008000,2020-03-24 00:00:00,LINK/USD,2.258,2.372,2.201,2.318,14377896.75,6246520.31
1584921600,2020-03-23 00:00:00,LINK/USD,2.0,2.36,1.942,2.258,16772053.08,7831227.58
1584835200,2020-03-22 00:00:00,LINK/USD,2.28,2.335,1.944,2.0,14675703.13,6972001.26
1584748800,2020-03-21 00:00:00,LINK/USD,2.263,2.376,2.105,2.28,9944442.43,4423969.32
1584662400,2020-03-20 00:00:00,LINK/USD,2.249,2.662,2.01,2.263,29987799.51,12731023.34
1584576000,2020-03-19 00:00:00,LINK/USD,1.959,2.379,1.887,2.249,30193004.91,13797129.99
1584489600,2020-03-18 00:00:00,LINK/USD,1.86,1.964,1.76,1.959,15320443.93,8194009.18
1584403200,2020-03-17 00:00:00,LINK/USD,1.79,2.1,1.745,1.86,21279834.78,10885589.01
1584316800,2020-03-16 00:00:00,LINK/USD,2.081,2.084,1.56,1.79,30538871.62,16930573.92
1584230400,2020-03-15 00:00:00,LINK/USD,2.144,2.47,2.02,2.081,19194124.44,8844392.69
1584144000,2020-03-14 00:00:00,LINK/USD,2.462,2.52,2.07,2.144,14993479.47,6516263.86
1584057600,2020-03-13 00:00:00,LINK/USD,2.14,2.889,1.515,2.462,54920917.89,24820702.08
1583971200,2020-03-12 00:00:00,LINK/USD,3.825,3.858,1.86,2.14,62653441.35,23745664.75
1583884800,2020-03-11 00:00:00,LINK/USD,4.076,4.112,3.55,3.825,16942038.09,4458654.4
1583798400,2020-03-10 00:00:00,LINK/USD,4.143,4.245,3.91,4.076,16156075.69,3962113.09
1583712000,2020-03-09 00:00:00,LINK/USD,4.05,4.381,3.615,4.143,31002924.87,7717121.07
1583625600,2020-03-08 00:00:00,LINK/USD,4.362,4.458,3.85,4.05,23327278.32,5562904.34
1583539200,2020-03-07 00:00:00,LINK/USD,4.703,4.709,4.333,4.362,9769066.19,2162076.92
1583452800,2020-03-06 00:00:00,LINK/USD,4.723,4.764,4.542,4.703,9901524.9,2131621.18
1583366400,2020-03-05 00:00:00,LINK/USD,4.644,4.9,4.618,4.723,16698040.86,3511724.15
1583280000,2020-03-04 00:00:00,LINK/USD,4.599,4.977,4.551,4.644,29543361.96,6231395.02
1583193600,2020-03-03 00:00:00,LINK/USD,4.235,4.69,4.133,4.599,18560453.78,4194298.91
1583107200,2020-03-02 00:00:00,LINK/USD,3.863,4.35,3.803,4.235,14849991.74,3575814.09
