unix,date,symbol,open,high,low,close,Volume ETC,Volume USD
1583107200,2020-03-02 00:00:00,ETC/USD,7.739,8.743,7.698,8.46,4016589.23,487593.69
1583020800,2020-03-01 00:00:00,ETC/USD,7.355,7.921,7.35,7.739,3096931.92,403899.19
1582934400,2020-02-29 00:00:00,ETC/USD,7.489,7.7,7.343,7.355,1621422.21,216746.58
1582848000,2020-02-28 00:00:00,ETC/USD,7.693,7.876,7.2,7.489,2491150.28,332915.64
1582761600,2020-02-27 00:00:00,ETC/USD,7.709,8.239,7.323,7.693,3567566.47,456533.92
1582675200,2020-02-26 00:00:00,ETC/USD,9.15,9.316,7.25,7.709,7144700.07,896211.53
1582588800,2020-02-25 00:00:00,ETC/USD,9.351,9.483,8.88,9.15,2802189.58,305889.87
1582502400,2020-02-24 00:00:00,ETC/USD,9.762,9.839,8.975,9.351,2731735.42,292239.39
1582416000,2020-02-23 00:00:00,ETC/USD,9.541,9.999,9.486,9.762,2106026.02,215647.14
1582329600,2020-02-22 00:00:00,ETC/USD,9.43,9.733,9.31,9.541,1158450.72,121435.21
1582243200,2020-02-21 00:00:00,ETC/USD,8.903,9.905,8.786,9.43,3886337.79,411058.95
1582156800,2020-02-20 00:00:00,ETC/USD,9.1,9.4,8.368,8.903,3435951.32,389601.08
1582070400,2020-02-19 00:00:00,ETC/USD,10.03,10.34,8.89,9.1,4125863.01,434007.61
1581984000,2020-02-18 00:00:00,ETC/USD,9.652,10.4,9.212,10.03,4238953.26,434908.79
1581897600,2020-02-17 00:00:00,ETC/USD,9.729,9.9,8.762,9.652,4542095.4,489683.92
1581811200,2020-02-16 00:00:00,ETC/USD,10.43,10.75,8.829,9.729,7587055.67,770662.85
1581724800,2020-02-15 00:00:00,ETC/USD,12.04,12.08,9.8,10.43,10188672.88,957955.58
1581638400,2020-02-14 00:00:00,ETC/USD,12.05,12.1,11.61,12.04,3104197.18,260567.05
1581552000,2020-02-13 00:00:00,ETC/USD,12.25,13.0,11.3,12.05,6993290.81,572536.09
1581465600,2020-02-12 00:00:00,ETC/USD,12.01,12.49,11.92,12.25,6692490.6,547889.27
1581379200,2020-02-11 00:00:00,ETC/USD,11.85,12.16,11.56,12.01,5259624.58,442338.71
1581292800,2020-02-10 00:00:00,ETC/USD,11.73,12.05,11.37,11.85,3830991.75,325347.7
1581206400,2020-02-09 00:00:00,ETC/USD,11.73,12.18,11.32,11.73,4174919.33,354344.14
1581120000,2020-02-08 00:00:00,ETC/USD,11.72,11.93,11.14,11.73,3540192.91,304411.99
1581033600,2020-02-07 00:00:00,ETC/USD,12.1,12.31,11.36,11.72,6174407.58,521758.6
1580947200,2020-02-06 00:00:00,ETC/USD,12.32,13.17,11.12,12.1,10005421.18,823798.18
1580860800,2020-02-05 00:00:00,ETC/USD,11.36,12.65,11.29,12.32,6025837.97,498547.7
1580774400,2020-02-04 00:00:00,ETC/USD,11.78,11.9,11.11,11.36,2671362.31,233750.16
1580688000,2020-02-03 00:00:00,ETC/USD,11.35,12.22,11.28,11.78,4871560.92,411240.37
1580601600,2020-02-02 00:00:00,ETC/USD,11.54,11.71,11.12,11.35,3263885.77,284482.03
1580515200,2020-02-01 00:00:00,ETC/USD,11.31,11.8,11.05,11.54,4313055.26,374444.25
1580428800,2020-01-31 00:00:00,ETC/USD,12.28,12.3,10.62,11.31,8115854.67,713994.43
1580342400,2020-01-30 00:00:00,ETC/USD,12.2,12.65,11.65,12.28,9432454.18,779469.34
1580256000,2020-01-29 00:00:00,ETC/USD,11.42,12.9,11.32,12.2,15276148.03,1253703.11
1580169600,2020-01-28 00:00:00,ETC/USD,10.42,11.77,10.34,11.42,11215604.01,1014451.63
1580083200,2020-01-27 00:00:00,ETC/USD,9.141,11.1,9.141,10.42,10652617.73,1041722.39
1579996800,2020-01-26 00:00:00,ETC/USD,8.39,9.36,8.221,9.141,2429798.93,271506.23
1579910400,2020-01-25 00:00:00,ETC/USD,8.587,8.62,8.108,8.39,1681891.55,200968.92
1579824000,2020-01-24 00:00:00,ETC/USD,8.447,8.831,7.85,8.587,3362429.42,404163.25
1579737600,2020-01-23 00:00:00,ETC/USD,9.34,9.35,8.161,8.447,3904278.54,451438.52
1579651200,2020-01-22 00:00:00,ETC/USD,8.932,9.491,8.911,9.34,2832790.41,306205.11
1579564800,2020-01-21 00:00:00,ETC/USD,8.62,9.127,8.511,8.932,2302839.38,259853.67
1579478400,2020-01-20 00:00:00,ETC/USD,8.521,9.097,8.05,8.62,6185194.05,713362.99
1579392000,2020-01-19 00:00:00,ETC/USD,8.295,9.477,7.749,8.521,12895253.15,1497916.19
1579305600,2020-01-18 00:00:00,ETC/USD,9.438,9.899,8.054,8.295,18231185.3,2030920.42
1579219200,2020-01-17 00:00:00,ETC/USD,8.39,12.07,8.144,9.438,41516304.24,4050308.47
1579132800,2020-01-16 00:00:00,ETC/USD,7.996,8.663,7.258,8.39,11787046.11,1474008.18
1579046400,2020-01-15 00:00:00,ETC/USD,6.822,8.109,6.631,7.996,16014175.12,2157422.23
1578960000,2020-01-14 00:00:00,ETC/USD,5.464,7.047,5.464,6.822,12441446.04,1927781.9
